Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
553395,Rejchartice,153,100,100,"1,00 %","0,00 %","0,00 %","5,00 %","0,00 %","7,00 %","7,00 %","2,00 %","2,00 %","1,00 %","0,00 %","0,00 %","6,00 %","0,00 %","4,00 %","34,00 %","0,00 %","0,00 %","5,00 %","0,00 %","0,00 %","0,00 %","0,00 %","26,00 %","0,00 %"
540871,Rohle,552,290,288,"6,59 %","0,00 %","0,34 %","6,59 %","0,00 %","9,02 %","9,37 %","0,69 %","0,34 %","0,69 %","0,34 %","0,00 %","6,59 %","0,00 %","2,08 %","35,06 %","0,34 %","0,00 %","8,68 %","0,00 %","0,00 %","0,34 %","0,00 %","12,84 %","0,00 %"
540919,Rovensko,642,447,444,"5,18 %","0,00 %","0,00 %","3,60 %","0,00 %","11,26 %","9,90 %","0,45 %","0,45 %","1,12 %","0,00 %","0,00 %","6,75 %","0,00 %","2,25 %","28,15 %","0,00 %","0,00 %","14,63 %","0,00 %","0,00 %","0,00 %","0,22 %","15,31 %","0,67 %"
540978,Ruda nad Moravou,2 034,1 216,1 209,"7,52 %","0,16 %","0,08 %","6,12 %","0,00 %","6,61 %","11,08 %","0,99 %","1,07 %","0,90 %","0,08 %","0,00 %","6,53 %","0,16 %","3,22 %","32,50 %","0,00 %","0,00 %","10,25 %","0,08 %","0,49 %","0,74 %","0,24 %","10,50 %","0,57 %"
540986,Sobotín,972,527,526,"7,60 %","0,00 %","0,00 %","6,08 %","0,19 %","5,32 %","8,55 %","0,57 %","0,76 %","1,14 %","0,76 %","0,19 %","9,31 %","0,19 %","1,52 %","35,55 %","0,19 %","0,00 %","4,18 %","0,00 %","0,00 %","0,00 %","0,76 %","16,73 %","0,38 %"
541079,Staré Město,1 477,737,726,"7,57 %","0,68 %","0,00 %","7,71 %","0,13 %","4,82 %","10,88 %","0,13 %","0,68 %","0,55 %","0,00 %","0,27 %","7,16 %","0,00 %","1,92 %","35,26 %","0,00 %","0,00 %","9,22 %","0,13 %","0,27 %","0,27 %","0,13 %","11,84 %","0,27 %"
570281,Stavenice,122,73,73,"4,10 %","0,00 %","0,00 %","6,84 %","0,00 %","0,00 %","15,06 %","2,73 %","1,36 %","0,00 %","0,00 %","0,00 %","5,47 %","0,00 %","1,36 %","34,24 %","0,00 %","2,73 %","1,36 %","0,00 %","0,00 %","0,00 %","0,00 %","24,65 %","0,00 %"
541109,Sudkov,918,511,507,"7,29 %","0,19 %","0,00 %","2,95 %","0,19 %","13,80 %","9,86 %","0,98 %","0,39 %","1,18 %","0,00 %","0,00 %","4,53 %","0,00 %","0,59 %","37,47 %","0,39 %","0,00 %","4,93 %","0,00 %","0,39 %","0,39 %","0,00 %","14,00 %","0,39 %"
541125,Svébohov,345,262,262,"3,81 %","0,00 %","0,38 %","4,96 %","1,52 %","12,21 %","6,10 %","1,14 %","1,52 %","1,90 %","0,00 %","0,00 %","3,05 %","0,00 %","1,52 %","30,91 %","0,00 %","0,00 %","18,70 %","0,00 %","0,38 %","0,38 %","0,00 %","11,45 %","0,00 %"
570117,Šléglov,36,22,21,"23,80 %","0,00 %","0,00 %","0,00 %","0,00 %","4,76 %","0,00 %","9,52 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","19,04 %","4,76 %","0,00 %","0,00 %","9,52 %","0,00 %","0,00 %","0,00 %","0,00 %","28,57 %","0,00 %"
